,name,function,chain,date
471,FLiK,,ETH,
472,ICOS,,ETH,
473,EverLife,Honeypot,BSC,
474,DOGEMASK,Honeypot,BSC,
475,ISTARDUST,Honeypot,ETH,
476,Instadapp,Honeypot,ETH,
477,LordShiba,Honeypot,BSC,
478,ANT1GOON,Exit Scam,ETH,
479,Wealthfront,Exit Scam,ETH,
480,ICONFoundation,Exit Scam,BSC,
481,CoinCoin,Exit Scam,BSC,
482,Gigachad Kishu,Honeypot,ETH,
483,SmartChainScan,Exit Scam,BSC,
484,DTP,Exit Scam,BSC,
485,Virus,Exit Scam,BSC,
486,Karura,Exit Scam,BSC,
487,Uranus Token,Exit Scam,ETH,
488,Tierion,Exit Scam,ETH,
489,Unikoin Gold,Exit Scam,ETH,
490,Little Mouse,Exit Scam,BSC,
491,RocketShiba,Honeypot,BSC,
492,Data Transaction Token,Exit Scam,ETH,
493,SpaceX Token,Honeypot,BSC,
494,Fuck Thanos,Exit Scam,ETH,
495,Nabox,Exit Scam,BSC,
496,Moonwalk,Exit Scam,BSC,
497,NOVASHIBA.COM,Exit Scam,BSC,
498,Goblin Town,Exit Scam,ETH,
499,Yearn Prometheus,Exit Scam,ETH,
500,HoDooi,Exit Scam,ETH,
501,JamTruAdr,Exit Scam,POLYGON,
502,SALT,Exit Scam,ETH,
503,JamTruAdr3,Exit Scam,POLYGON,
504,JamTruAdr2,Exit Scam,POLYGON,
505,JamTruAdr4,Exit Scam,POLYGON,
506,PolySnow,Exit Scam,POLYGON,
507,AL PACINU,Exit Scam,ETH,
508,Zombie Shiba,Exit Scam,ETH,
509,SHIBASWAP,Honeypot,ETH,
510,Yfi.mobi,Exit Scam,ETH,
511,YUMMYSHIBA,Exit Scam,BSC,
512,Jejudoge V2,Exit Scam,ETH,
513,TravelCake,Exit Scam,BSC,
514,FLUFFYSHIBA,Exit Scam,BSC,
515,Tuckoo Finance,Exit Scam,BSC,
516,AirToken,Exit Scam,ETH,
517,Moonfarm Finance,Exit Scam,ETH,
518,ASG Token,Exit Scam,BSC,
519,Faraland,Exit Scam,ETH,
520,PiggyBank,Exit Scam,BSC,
521,Gains Farm,Exit Scam,ETH,
522,Truample,Exit Scam,ETH,
523,Dropil,Exit Scam,ETH,
524,Xfinance,Exit Scam,ETH,
525,IYF.finance,Exit Scam,ETH,
526,Shopin,Exit Scam,ETH,
527,HOTDOGSWAP.ORG,Exit Scam,ETH,
528,Hisho Inu,Exit Scam,ETH,
529,Paragon,Exit Scam,ETH,
530,CoomRocket,Exit Scam,ETH,
531,EthereumSpacex,Exit Scam,ETH,
532,GamerX,Exit Scam,BSC,
533,Green Swap,Exit Scam,ETH,
534,Pluto Rocket Finance,Exit Scam,BSC,
535,ethereum-ultra.com,Exit Scam,ETH,
536,Bat Inu,Exit Scam,ETH,
537,DragonBite,Exit Scam,ETH,
538,7/20/21,Exit Scam,ETH,
539,Hypernova,Exit Scam,BSC,
540,Gitcoin,Exit Scam,BSC,
541,Hoge Inu,Exit Scam,ETH,
542,Akashi Inu,Exit Scam,ETH,
543,Ethelon Finance,Exit Scam,ETH,
544,MoonDate,Exit Scam,BSC,
545,Ethereum Cate,Exit Scam,ETH,
546,Fisa Inu,Exit Scam,ETH,
547,PugDog Inu,Exit Scam,ETH,
548,Wrapped Ultra Sound Money,Exit Scam,ETH,
549,YisusShiba,Exit Scam,BSC,
550,Supreme Inu,Exit Scam,ETH,
551,Neo Shiba,Exit Scam,ETH,
552,Jejudoge V2,Exit Scam,ETH,
553,GABECOIN,Exit Scam,BSC,
554,Dino Inu,Exit Scam,ETH,
555,MilitaryDoge,Exit Scam,BSC,
556,Volcano Money,Exit Scam,ETH,
557,Bitboy Inu,Exit Scam,ETH,
558,Crytocurency.Ai,Exit Scam,ETH,
559,Goose Inu,Exit Scam,ETH,
560,Bonu Inu,Exit Scam,ETH,
561,KingAkita,Honeypot,BSC,
562,DiamondHands,Exit Scam,BSC,
563,EthereumMoon,Exit Scam,ETH,
564,Anonymus Inu,Exit Scam,ETH,
565,DRAGON SWAP,Exit Scam,BSC,
566,Starlink Token,Exit Scam,BSC,
567,RocketInu,Honeypot,BSC,
568,Bonny Network,Exit Scam,BSC,
569,Stratos Network,Exit Scam,ETH,
570,uglyinu.io,Exit Scam,ETH,
571,Onlygreen,Exit Scam,BSC,
572,FormationFi,Exit Scam,BSC,
573,Croco Inu,Honeypot,ETH,
574,Kenshi Inu,Honeypot,ETH,
575,Shiba Diamond,Honeypot,BSC,
576,ANONYMOUS,Honeypot,BSC,
577,Sansho Inu,Honeypot,ETH,
578,ghostshiba.xyz,Honeypot,ETH,
579,Sether,Exit Scam,ETH,
580,padthai.finance,Exit Scam,ETH,
581,Hatch DAO,Exit Scam,ETH,
582,Bezop,Exit Scam,ETH,
583,Gladius Token,Exit Scam,ETH,
584,Kore,Exit Scam,ETH,
585,Veritaseum,Exit Scam,ETH,
586,Centra,Exit Scam,ETH,
587,XSwap,Exit Scam,ETH,
588,sXRP,Exit Scam,ETH,
589,Mosaic,Exit Scam,ETH,
590,Eristica token,Exit Scam,ETH,
591,Ethereum Metamask,Exit Scam,ETH,
592,Shivers,Exit Scam,ETH,
593,PlexCoin,Exit Scam,ETH,
594,Enigma,Exit Scam,ETH,
595,Titanium BAR,Exit Scam,ETH,
596,ShipChain,Exit Scam,ETH,
597,Yieldby.finance,Exit Scam,ETH,
598,bitqy,Exit Scam,ETH,
599,Mooswap,Exit Scam,ETH,
600,Binance-Peg VeChain,Honeypot,BSC,
601,ForTheWin,Honeypot,BSC,
602,Stability Protocol,Honeypot,BSC,
603,NoCapCoin,Honeypot,BSC,
604,Tentrix,Honeypot,BSC,
605,XDAICHAIN,Honeypot,BSC,
606,GrumpyDoge,Honeypot,ETH,
607,Baloo Inu,Honeypot,ETH,
608,JUST FAIR LAUNCH,Honeypot,ETH,
609,Doge Gang Inu,Honeypot,ETH,
610,AstroCum,Honeypot,BSC,
611,komainu.finance,Honeypot,ETH,
612,MoonShard,Honeypot,BSC,
613,koinuinu.finance,Honeypot,ETH,
614,WoodPecker,Honeypot,BSC,
615,Yearn-V3,Honeypot,ETH,
616,Cooktail Inu,Honeypot,ETH,
617,MyokoSwap Token,Honeypot,ETH,
618,Tōsandō Inu,Exit Scam,ETH,
619,Sunder Protocol,Exit Scam,ETH,
620,yLiquidate,Exit Scam,ETH,
621,TerraCycle,Exit Scam,BSC,
622,TubbyCoin,Honeypot,ETH,
623,OwlnTools,Honeypot,BSC,
624,Nemo Inu,Honeypot,ETH,
625,STARLINK ELON MUSK,Honeypot,BSC,
626,Misa Inu,Honeypot,ETH,
627,shibamiami.cloud,Honeypot,ETH,
628,ArgonNetwork,Honeypot,BSC,
629,phuture.finance,Honeypot,ETH,
630,FuckELON Finance,Honeypot,BSC,
631,MONKEY,Honeypot,BSC,
632,Lazy.com,Honeypot,ETH,
633,epns.io,Honeypot,ETH,
634,KingRoyal,Honeypot,BSC,
635,Wrapped AMC,Honeypot,ETH,
636,CunInu,Honeypot,BSC,
637,SKYMARS,Honeypot,BSC,
638,HODLEPUFF,Honeypot,BSC,
639,Moon Inu Shiba,Honeypot,ETH,
640,spacedogedollar.com,Honeypot,ETH,
641,Ethereum Burger,Honeypot,ETH,
642,NFT.Music,Honeypot,BSC,
643,Houbi Arena,Honeypot,ETH,
644,ROTTWEILER INU,Honeypot,ETH,
645,Universe of Inu,Honeypot,ETH,
646,FTX Arena,Honeypot,ETH,
647,CryptionNetwork,Honeypot,BSC,
648,Bugs Bunny,Honeypot,ETH,
649,VentureCoin,Honeypot,BSC,
650,ZIDDLE,Honeypot,BSC,
651,Yokohama Inu,Honeypot,ETH,
652,GEMSTONE,Honeypot,BSC,
653,Shiba Moon,Honeypot,ETH,
654,NFTify,Honeypot,ETH,
655,Excavator,Honeypot,BSC,
656,Shiba Donut,Honeypot,ETH,
657,Nagasaki Shiba,Honeypot,ETH,
658,Pharaoh Cat,Honeypot,ETH,
659,Formation Finance,Honeypot,ETH,
660,TERMINU,Honeypot,ETH,
661,Artillery,Honeypot,BSC,
662,GOOSE FINANCE,Honeypot,ETH,
663,Dot.Finance,Honeypot,BSC,
664,Sanindo Inu,Honeypot,ETH,
665,Shiba Toy,Honeypot,ETH,
666,CHRONOSFINANCE,Honeypot,BSC,
667,OKPay Finance,Honeypot,ETH,
668,PostMaloneCoin,Honeypot,ETH,
669,PI NETWORK,Honeypot,BSC,
670,Tribe,Honeypot,ETH,
671,HOPE,Honeypot,ETH,
672,Solanium,Honeypot,ETH,
673,Fei Tribe,Honeypot,ETH,
674,SunDoge Inu,Honeypot,ETH,
675,HolderFinance,Honeypot,BSC,
676,KingSwap,Honeypot,BSC,
677,Hot Cookies,Honeypot,ETH,
678,FakeTaxi,Honeypot,BSC,
679,ElonRocket,Honeypot,BSC,
680,Bafe.io,Honeypot,BSC,
681,SafeNuclear,Honeypot,BSC,
682,Fear NFTs,Honeypot,BSC,
683,Post Malone Coin,Honeypot,ETH,
684,MoonSheet,Honeypot,ETH,
685,KingCorgi,Honeypot,BSC,
686,NFTQR,Honeypot,BSC,
687,NFTQR,Honeypot,BSC,
688,One,Honeypot,BSC,
689,Polkacomma,Honeypot,BSC,
690,Iron Mars,Honeypot,BSC,
691,Ethereum Apex,Honeypot,ETH,
692,MoonX2,Honeypot,BSC,
693,BOWL,Honeypot,BSC,
694,Cook Token,Honeypot,ETH,
695,SafeNaruto Token,Honeypot,BSC,
696,Halleys Comet,Honeypot,BSC,
697,Ultrasafe,Honeypot,BSC,
698,Unmarshal Token,Honeypot,ETH,
699,moonfeg,Honeypot,BSC,
700,Corgo,Honeypot,BSC,
701,Mewtwo Token,Honeypot,ETH,
702,nebula,Honeypot,BSC,
703,Mango.Finance,Honeypot,ETH,
704,Nifty's,Honeypot,ETH,
705,TOKO TOKEN,Honeypot,BSC,
706,POOL SIDE DAO,Honeypot,BSC,
707,SolanaSwap,Honeypot,ETH,
708,SmartRush,Honeypot,BSC,
709,BlueOrigin,Honeypot,BSC,
710,animecutties,Honeypot,BSC,
711,RocketBanana,Honeypot,BSC,
712,KarateInu,Honeypot,ETH,
713,NFTD Protocol,Honeypot,BSC,
714,BWare Token,Honeypot,BSC,
715,SpacePiggy,Honeypot,BSC,
716,Ethereum KISHU,Honeypot,ETH,
717,polyMAX,Honeypot,ETH,
718,Dexlab,Honeypot,ETH,
719,Ethereum SHIBA,Honeypot,ETH,
720,SafeCeti,Honeypot,BSC,
721,incidentCovid,Honeypot,ETH,
722,SUNLIGHT PROTOCOL,Honeypot,BSC,
723,TacoSwap,Honeypot,BSC,
724,GBull,Honeypot,BSC,
725,MarsRocket,Honeypot,BSC,
726,EA Sports Token,Honeypot,ETH,
727,Lossless,Honeypot,BSC,
728,NiiFi,Honeypot,BSC,
729,Crypto Farm,Honeypot,BSC,
730,HAHAHA GO SAFE TOKENS,Honeypot,BSC,
731,ELONTRUSTED,Honeypot,BSC,
732,CosmosCoin,Honeypot,BSC,
733,EXPER,Honeypot,BSC,
734,StringFinance.io,Honeypot,BSC,
735,SafeMarket Token,Honeypot,BSC,
736,BarTown BSC,Honeypot,BSC,
737,dogemars,Honeypot,BSC,
738,ASAPfarm,Honeypot,BSC,
739,ElonGain 1000X,Honeypot,BSC,
740,VanillaUnicorn,Honeypot,BSC,
741,saferipple,Honeypot,BSC,
742,Luxury Finance,Honeypot,BSC,
743,DangerARK,Honeypot,BSC,
744,elonrugs,Honeypot,BSC,
745,NASA Farm,Honeypot,BSC,
746,shibalabs,Honeypot,BSC,
747,ElonSafu,Honeypot,BSC,
748,SafeCatch,Honeypot,BSC,
749,RebirthFarm.io,Honeypot,BSC,
750,Sollet,Honeypot,ETH,
751,RevertFinance Token,Honeypot,BSC,
752,Moon RUNE,Honeypot,BSC,
753,APPLEJUICE.FINANCE,Honeypot,BSC,
754,RollFinance,Honeypot,BSC,
755,BraveToken,Honeypot,BSC,
756,LITECOIN STANDAR HASRATE TOKEN,Honeypot,BSC,
757,SAFEFEG,Honeypot,BSC,
758,Bombic Finance,Honeypot,ETH,
759,Cosmos Finance,Honeypot,BSC,
760,ELONEBULA,Honeypot,BSC,
761,NEOBUX,Honeypot,BSC,
762,UNIONJACK - BSC,Honeypot,BSC,
763,nintendo chain network,Honeypot,BSC,
764,BERSERK Token,Honeypot,BSC,
765,Quick Grow,Honeypot,BSC,
766,WhiteX Finance,Honeypot,BSC,
767,melonmars,Honeypot,BSC,
768,safeokko,Honeypot,BSC,
769,NYAN INU,Honeypot,ETH,
770,PandoraBSC,Honeypot,BSC,
771,Shozo Inu,Honeypot,ETH,
772,Charged Particles Protocol,Honeypot,ETH,
773,Governor Network,Honeypot,ETH,
774,WenMoon,Honeypot,BSC,
775,mooncake,Honeypot,BSC,
776,ADRENALINE.FINANCE,Honeypot,BSC,
777,RedSWAP,Honeypot,BSC,
778,Quantum Farm,Honeypot,BSC,
779,LastOutFirstWin,Honeypot,BSC,
780,ELONSPACE,Honeypot,BSC,
781,EXODUS,Honeypot,BSC,
782,Mars Ore,Honeypot,BSC,
783,GOSWAP.IO,Honeypot,BSC,
784,Instantly,Honeypot,BSC,
785,XDEFILABS,Honeypot,BSC,
786,MOON1000X,Honeypot,BSC,
787,TILY,Honeypot,BSC,
788,bscgames.win,Honeypot,BSC,
789,SafeForever,Honeypot,BSC,
790,BSC HOTEL,Honeypot,BSC,
791,ElonHODL Token,Honeypot,BSC,
792,RiserDefi.com,Honeypot,BSC,
793,white.finance,Exit Scam,ETH,
794,SafeMoon,Honeypot,BSC,
795,gorillapump.net,Honeypot,BSC,
796,Concordium,Honeypot,ETH,
797,MEMElonMusk,Honeypot,ETH,
798,Space X Crew,Honeypot,ETH,
799,Crypto Puzzles,Honeypot,ETH,
800,PurpleGoat,Honeypot,BSC,
801,IronyMan,Honeypot,ETH,
802,Moon Mission Elon,Honeypot,ETH,
803,Mother Of Dragon,Honeypot,ETH,
804,DOGE ROCKET,Honeypot,BSC,
805,ElonFinance,Honeypot,ETH,
806,SolstarterToken,Honeypot,ETH,
807,Doggy Token,Honeypot,ETH,
808,SUPERCYCLE,Honeypot,BSC,
809,Oportunity Token,Honeypot,ETH,
810,NUKE INU,Honeypot,ETH,
811,London X Protocol,Honeypot,ETH,
812,Elon Payment Ecosystem,Honeypot,ETH,
813,The Dragon Father,Honeypot,ETH,
814,NyanDoge,Honeypot,ETH,
815,Umbrella,Honeypot,BSC,
816,Tokka Inu,Honeypot,ETH,
817,Bring.finance,Honeypot,ETH,
818,ElonStar,Honeypot,ETH,
819,Skrill DOGE,Honeypot,ETH,
820,Sienna.Network,Honeypot,ETH,
821,Maple.Finance,Honeypot,ETH,
822,Lever Network,Honeypot,ETH,
823,Meow Token,Honeypot,ETH,
824,Peanut Butter,Honeypot,ETH,
825,makiswap.com,Honeypot,ETH,
826,Don-Key.finance,Honeypot,ETH,
827,CrossPad,Honeypot,ETH,
828,Elon Payment Ecosystem,Honeypot,ETH,
829,DNA TOKEN,Honeypot,BSC,
830,The Doge Godfather,Honeypot,ETH,
831,NFTify.Network,Honeypot,ETH,
832,SpaceX Starlink,Honeypot,ETH,
833,Dojecoin,Honeypot,BSC,
834,RedefinexProtocol,Honeypot,BSC,
835,Moon Fox Community,Honeypot,ETH,
836,IPX,Honeypot,BSC,
837,Librex,Honeypot,BSC,
838,DOGE PARTY,Honeypot,BSC,
839,HerionProtocol,Honeypot,BSC,
840,LamboToken,Honeypot,BSC,
841,Horse Protocol,Honeypot,ETH,
842,Media Network,Honeypot,ETH,
843,⛓️IronChain token,Honeypot,BSC,
844,NAOS Finance,Honeypot,ETH,
845,TerrainNFT,Honeypot,BSC,
846,FujiProtocol,Honeypot,BSC,
847,EasterEgg,Honeypot,BSC,
848,Covalent,Honeypot,ETH,
849,QixiSwap,Honeypot,BSC,
850,Miraculous??,Honeypot,BSC,
851,? SNAKE FIST NETWORK ?,Honeypot,BSC,
852,Infinity Cat,Honeypot,ETH,
853,UMBRELLA,Honeypot,BSC,
854,DerioxDefi,Honeypot,BSC,
855,TokenFomo.pro,Honeypot,BSC,
856,EASYFEEDBACK,Honeypot,BSC,
857,Shining Stars Token,Honeypot,ETH,
858,MoonRobin,Honeypot,BSC,
859,Everest,Honeypot,BSC,
860,MW,Honeypot,BSC,
861,XFai,Honeypot,BSC,
862,infinityElon,Honeypot,ETH,
863,MoonSend?,Honeypot,BSC,
864,Darth Vader Token,Honeypot,ETH,
865,SB,Honeypot,BSC,
866,SaitoToken,Honeypot,BSC,
867,CereNetwork,Honeypot,BSC,
868,XenonFinance,Honeypot,BSC,
869,MK,Honeypot,BSC,
870,Sushi Finance,Honeypot,BSC,
871,Atomas,Honeypot,BSC,
872,PolarisFinance,Honeypot,BSC,
873,BENQi,Honeypot,BSC,
874,STARTFI,Honeypot,BSC,
875,OceanEx,Honeypot,ETH,
876,slashprotocol.com,Honeypot,ETH,
877,SpaceXDeimos,Honeypot,BSC,
878,NFTbs,Honeypot,BSC,
879,eTHEREUMGIRL,Honeypot,ETH,
880,GalaxyToken,Honeypot,BSC,
881,NYANINU,Honeypot,ETH,
882,SpheriumFinance,Honeypot,BSC,
883,SmartShiba,Honeypot,BSC,
884,FudderElon,Honeypot,BSC,
885,NINJA CAT,Honeypot,BSC,
886,DogeRoulette,Honeypot,BSC,
887,Tara Inu,Honeypot,ETH,
888,Moonpad,Honeypot,BSC,
889,Ethereum 2.0,Honeypot,ETH,
890,SnoopToken,Honeypot,BSC,
891,dogejavu.com,Honeypot,BSC,
892,Elon&#x27;s Gay For Doge,Honeypot,BSC,
893,Forest token,Honeypot,BSC,
894,NeuroChain,Honeypot,BSC,
895,GAYSHIBA,Honeypot,BSC,
896,dmoon.finance,Honeypot,ETH,
897,LGBTToken,Honeypot,BSC,
898,PhutureProtocol,Honeypot,BSC,
899,Strawberry,Honeypot,BSC,
900,SparkEnergy,Honeypot,BSC,
901,NFT GEM,Honeypot,BSC,
902,BinanceInu.Bep20,Honeypot,BSC,
903,Sakura Inu,Honeypot,ETH,
904,Shibaboss,Honeypot,BSC,
905,Sphynx Token,Honeypot,ETH,
906,LEASHSWAP,Honeypot,ETH,
907,Koshka Miu,Honeypot,BSC,
908,SAFEMOONSHOT,Honeypot,BSC,
909,DIAMOND FUCKING HANDS,Honeypot,BSC,
910,Centrifuge,Honeypot,BSC,
911,1000xCoin,Honeypot,BSC,
912,BongWeedCoin,Honeypot,BSC,
913,DwayneCoin,Honeypot,BSC,
914,taxi Finance,Honeypot,BSC,
915,SPEEDDAO,Honeypot,BSC,
916,SpaceXDoge,Honeypot,BSC,
917,HungryShiba,Honeypot,ETH,
918,SkyRocket,Honeypot,BSC,
919,LIGMA,Honeypot,ETH,
920,Glitch,Honeypot,BSC,
921,DuckCoin,Honeypot,BSC,
922,SafeTed,Honeypot,BSC,
923,DogeStar,Honeypot,BSC,
924,Coffee Shop DAO,Honeypot,ETH,
925,Freela,Honeypot,ETH,
926,EMACITY TOKEN,Honeypot,BSC,
927,MarsLanding,Honeypot,BSC,
928,HARDBALL,Honeypot,BSC,
929,Jaku Inu,Honeypot,BSC,
930,SonicSpeed,Honeypot,BSC,
931,Pigg Token,Honeypot,BSC,
932,BitDoge,Honeypot,BSC,
933,BathroomSwap,Honeypot,BSC,
934,SPACEDOGE,Honeypot,BSC,
935,New Deep Thots,Honeypot,BSC,
936,KING TRUMP,Honeypot,BSC,
937,PI NETWORK TOKEN,Honeypot,BSC,
938,Stratos,Honeypot,BSC,
939,Pinknode,Honeypot,BSC,
940,Antares,Honeypot,ETH,
941,FUTURE,Honeypot,BSC,
942,Diamond Hands Inu,Honeypot,ETH,
943,Vulcano,Honeypot,ETH,
944,Wu-Tang Financial,Honeypot,ETH,
945,NeptuneWallet,Honeypot,BSC,
946,NFTLogy,Honeypot,BSC,
947,Moony Farm,Honeypot,ETH,
948,Brainstorm,Honeypot,ETH,
949,Squirtle,Honeypot,BSC,
950,PROJECT LION,Honeypot,BSC,
951,GUCCI,Honeypot,BSC,
952,Step Finance,Honeypot,BSC,
953,PoopyFinance,Honeypot,BSC,
954,RocketShip,Honeypot,BSC,
955,Jade Currency,Honeypot,BSC,
956,Virgin Elon,Honeypot,ETH,
957,AppleFive,Honeypot,BSC,
958,COFFEE MOON,Honeypot,BSC,
959,GO,Honeypot,BSC,
960,DIAMOND,Honeypot,BSC,
961,RocketAkita,Honeypot,BSC,
962,Paralink Network,Honeypot,BSC,
963,Lucky Coin,Honeypot,BSC,
964,Smaugs,Honeypot,BSC,
965,META,Honeypot,BSC,
966,SAFE SHIBA,Honeypot,BSC,
967,ShibaBTC,Honeypot,BSC,
968,Real Madrid FC,Honeypot,ETH,
969,Rabbit Finance,Honeypot,BSC,
970,TogetherWeStand,Honeypot,BSC,
971,Melon Musk,Honeypot,BSC,
972,SpaceGoat,Honeypot,BSC,
973,CRYPTO MOON SHOTS,Honeypot,BSC,
974,WOO,Honeypot,BSC,
975,BSCstarter,Honeypot,BSC,
976,KoinChurch,Honeypot,BSC,
977,HolyMoon,Honeypot,BSC,
978,600X,Honeypot,BSC,
979,Redbean Token,Honeypot,BSC,
980,Muk Finance,Honeypot,BSC,
981,FLORIDA,Honeypot,ETH,
982,Potato,Honeypot,BSC,
983,Jesus Doge,Honeypot,BSC,
984,Elon Moon,Honeypot,BSC,
985,GamyFi,Honeypot,ETH,
986,Cockzilla,Honeypot,ETH,
987,24Hours,Honeypot,BSC,
988,Safewog,Honeypot,BSC,
989,BraveHeart TOKEN,Honeypot,BSC,
990,Polkamon,Honeypot,BSC,
991,GemNFT,Honeypot,BSC,
992,Golden Mining GAS,Honeypot,BSC,
993,Mommy Milkers,Honeypot,ETH,
994,KURMA,Honeypot,BSC,
995,Auditore,Honeypot,BSC,
996,MoonFEG Token,Honeypot,BSC,
997,benchmars protocol,Honeypot,BSC,
998,Rabbit Swap,Honeypot,BSC,
999,rewardiqa,Honeypot,BSC,
1000,SAFEEARTH,Honeypot,BSC,
1001,ElonFunds,Honeypot,BSC,
1002,MoonStreetBets,Honeypot,BSC,
1003,QuickMOON,Honeypot,BSC,
1004,Polka Ventures,Honeypot,ETH,
1005,SafeTeslaCoil,Honeypot,BSC,
1006,SolaceToken,Honeypot,BSC,
1007,SafeTonyStark Bsc,Honeypot,BSC,
1008,ThugLife,Honeypot,BSC,
1009,SafeBeer,Honeypot,BSC,
1010,SAFEHarvest,Honeypot,BSC,
1011,7finance.io,Honeypot,BSC,
1012,7seven Finance,Honeypot,ETH,
1013,SpeedMOON,Honeypot,BSC,
1014,SpriteXFinance,Honeypot,BSC,
1015,SafeFLM,Honeypot,BSC,
1016,DieselPumpToken,Honeypot,BSC,
1017,KGBCoin,Honeypot,BSC,
1018,NoCapFax COIN,Honeypot,BSC,
1019,OminousToken,Honeypot,BSC,
1020,ElonTrade 100x,Honeypot,BSC,
1021,KINGOFREFLECT,Honeypot,BSC,
1022,GoalTimeN Finance,Honeypot,ETH,
1023,EVER MOON,Honeypot,BSC,
1024,StudToken,Honeypot,BSC,
1025,Zona Indonesia,Honeypot,BSC,
1026,Tribute.finance,Honeypot,BSC,
1027,TAKE OF ELON,Honeypot,BSC,
1028,Coconut finance,Honeypot,BSC,
1029,TILDA and Co Token,Honeypot,BSC,
1030,SaltYield.finance,Honeypot,BSC,
1031,SAFEMARS,Honeypot,BSC,
1032,SpaceMoon,Honeypot,BSC,
1033,TESLAFARM.FINANCE,Honeypot,BSC,
1034,REAPit,Honeypot,BSC,
1035,SHOPEEPAY,Honeypot,BSC,
1036,SafeCat,Honeypot,BSC,
1037,SeaGroxCoin,Honeypot,BSC,
1038,Fei protocol,Honeypot,ETH,
1039,Polkalokr,Honeypot,ETH,
1040,OzarkToken,Honeypot,ETH,
1041,MoonDust,Honeypot,BSC,
1042,Rage.Fan,Honeypot,ETH,
1043,SafeSuperHeavy,Honeypot,BSC,
1044,Forcedao.com,Honeypot,ETH,
1045,ELONCAKE,Honeypot,BSC,
1046,Ramifi.org,Honeypot,ETH,
1047,Unmarshal.io,Honeypot,ETH,
